simulation_id,ROIC,N40_sales_capital_ratio,N32_working_capital,total_revenue,total_capital,N25_Fundusze_specjalne,N26_Saldo_naleznosci,N27_Stan_zapasow,N28_Stan_RMK_czynne,N29_Stan_zobowiazan_handlowych,N30_RMK_bierne
3261,0.4168500617931614,5.55773648855105,57.68454316006458,356.59344172,64.16163171006458,0.4372770868357622,104.9653604507685,1.674060155935193,21.228193254210048,67.1440057361292,2.601787877884191
3262,0.3431094917108941,4.574575648248407,71.4740634560967,356.59344172,77.9511520060967,0.5039169896759929,126.35914873927914,1.5556608006567583,13.268552881052045,65.70618106687408,3.4992009083411473
3263,0.3015411590869404,4.020357572812429,82.21985824186113,356.59344172,88.69694679186114,0.5127570372459346,103.21988188510174,1.5563120502608543,20.710111280665465,40.18041590294042,2.5732740339805797
3264,0.7445370926486755,9.926689105173935,29.445608125786723,356.59344172,35.922696675786725,0.5013496482936742,84.98588595818862,0.5830557430860781,22.195056418614534,75.13582539264098,2.681214953167864
3265,0.8767268003931046,11.689134716868853,24.02931336573735,356.59344172,30.506401915737353,0.46875767731000034,86.46924572727208,1.0925999801660429,20.457782825446053,80.76615966016037,2.7553978296764665
3266,0.8069330088078124,10.758595087105341,26.66789356271035,356.59344172,33.14498211271035,0.5386041254353846,94.31213082906237,0.659948247043745,15.894469261314022,80.31233982743257,3.3477108218418397
3267,0.25591485035022377,3.4120357224734215,98.03337696807539,356.59344172,104.51046551807539,0.5255351381580861,130.5019404751659,0.6867166811514214,19.439125581329677,48.69750837306409,3.3713622583494134
3268,0.570919379343388,7.611896356565971,40.36977128833777,356.59344172,46.84685983833777,0.4327183580801037,96.53992736120632,0.551372315246152,20.394226529364126,73.02887704815305,3.654159511245668
3269,0.3451032665973541,4.601158049097212,71.02371405554551,356.59344172,77.50080260554552,0.4732071586631965,125.68686051200955,1.356903637162687,17.104249773770448,69.56468336946236,3.0864093392716088
3270,0.8852141616117283,11.802294151062876,23.7368204710598,356.59344172,30.213909021059802,0.47575967638523703,91.23708881234758,0.7730780973267505,13.345004064909432,78.190459139454,2.9521316876847115
3271,0.3623691423166448,4.831358776618045,67.3310176593293,356.59344172,73.80810620932931,0.46081800146699436,111.22105958690068,1.085334257788642,21.238140123623918,63.2330170298837,2.5196812776332225
3272,0.2624704116371674,3.4994390492491236,95.42308364945991,356.59344172,101.90017219945992,0.4873860911541121,125.0453610716322,0.936308772836322,17.509462542826256,44.077653545568396,3.5030091011123536
3273,0.8689563904676628,11.585534178613312,24.3021086991234,356.59344172,30.779197249123403,0.5299286421856959,93.87983124229653,0.7951820995380011,15.632590161586604,82.35273730213623,3.1228288599758054
3274,0.4362773076759261,5.816754114337727,54.827452558422,356.59344172,61.304541108422,0.4376478523528002,107.30341230132412,0.5684131744148618,15.620285996340598,64.55459518663719,3.6724158746675837
3275,0.37748201596724557,5.0328541751637275,64.37603560363185,356.59344172,70.85312415363185,0.4970940175868116,114.24032062471412,1.9137571726769531,17.334012736436723,65.82179710649007,2.793163806119068
3276,0.4536144008492226,6.047904362751148,52.48439965015206,356.59344172,58.96148820015206,0.4350642426635529,97.64503212379066,1.7133275063566948,11.879032028487112,55.8085688935691,2.5093588722497437
3277,1.2122356110713948,16.162372771136763,15.586097763634282,356.59344172,22.063186313634283,0.5095453673188299,87.22050499476845,1.8557373671317534,12.618514993617081,82.99224445725844,2.6068697673057284
3278,0.3364092895227289,4.485243867843604,73.0266022697015,356.59344172,79.5036908197015,0.5161424256447218,108.17416880952936,0.4189338898852151,18.892539683089346,50.44555173183801,3.4973459553197057
3279,0.33996874126600135,4.532700967280566,72.19420353259713,356.59344172,78.67129208259713,0.4652171707058776,127.26619436800166,1.917563512447921,16.789568102740073,70.03425934840224,3.2796459314844073
3280,0.6065450373852324,8.08688253931013,37.6182028044383,356.59344172,44.095291354438295,0.4759902233036756,105.10279127386721,1.0146949824990497,22.403611790181678,86.95492636882629,3.471978649979661
3281,1.076480057277033,14.35238480663754,18.368499589128376,356.59344172,24.845588139128377,0.4793927267812414,93.38174928023233,1.656481284745062,14.104335505086349,87.17261957120994,3.1220541829441837
3282,0.3707434512116506,4.943010918186553,65.66384895187866,356.59344172,72.14093750187867,0.50739403603028,120.09100251330105,0.3733731001755559,20.688043689650613,71.22173563543531,3.759440679782945
3283,0.7929123274145979,10.571661559404241,27.253980091975667,356.59344172,33.73106864197567,0.4481136192311542,86.88784904116906,1.1594447393761271,22.68539973291528,79.88884471165326,3.141755090600395
3284,0.2543399578041963,3.3910381538729713,98.6805137944996,356.59344172,105.15760234449961,0.4790373384346424,120.4410614708185,1.8867173148164098,18.563148914299568,39.180505811789,2.5508707552112337
3285,0.42316443346832405,5.641924106780881,56.727136634705985,356.59344172,63.20422518470598,0.43816778921562927,125.73371436962827,0.9288513365764299,16.556528249790865,83.19364312309355,2.8601464089803805
3286,0.27514799740959794,3.668465487031287,90.72798070324079,356.59344172,97.2050692532408,0.5013710977431568,113.20388912346519,0.9820444196007716,22.17506839667456,42.332415374674966,2.799234764081606
3287,0.6496129184801095,8.661093643456125,34.69478377924373,356.59344172,41.171872329243726,0.45170280886953906,89.4566989090297,1.6811500396563228,15.054905917470641,68.62296741202448,2.423300866018915
3288,0.7472161724634835,9.96240847049788,29.316810362697254,356.59344172,35.79389891269725,0.49163258709644214,100.75431285853605,0.9303994271553413,14.636230394340213,82.7611152411518,3.7513844890861066
3289,1.0468670489993375,13.95756347463933,19.071313387625043,356.59344172,25.548401937625044,0.4424339205923706,84.92662757734504,1.814692079340122,19.80901792697026,84.3616166151092,2.6749736603288143
3290,0.5944730235502194,7.925930010018109,38.513649605557504,356.59344172,44.9907381555575,0.5058790062661566,102.4914228062268,1.773640939909407,18.88884421085296,81.51756114453715,2.6168182006283556
3291,0.3507376584467799,4.676279700843271,69.7787097624268,356.59344172,76.2557983124268,0.4725283666740775,115.20874119926383,1.7667523320380187,17.0826226838086,61.24753021171816,2.5593478742914137
3292,0.4881064738587266,6.507776797232894,48.31788257925316,356.59344172,54.794971129253156,0.497645319850364,94.78919195915554,1.6220993597449582,15.539796259537916,59.89687510201195,3.2386845773229633
3293,0.4968008705266272,6.623696572797433,47.358928514017975,356.59344172,53.83601706401797,0.5367455190745334,121.9228450926594,1.9104641438598344,14.686875125226784,87.12319971144001,3.501310617213509
3294,0.41854083437945094,5.580279050872476,57.425350462301125,356.59344172,63.90243901230112,0.49248327600709463,91.39680604274402,0.603911707009422,11.85522805966598,43.06272184871318,2.87539022239801
3295,0.564412815571272,7.5251462989173845,40.90982295380715,356.59344172,47.38691150380715,0.4697008544536597,96.73022852960213,1.7808791840032816,17.55505705463435,71.39778048879602,3.288860471182928
3296,0.4282891171896638,5.710249973371506,55.97086791125739,356.59344172,62.44795646125739,0.47191118293137835,119.53481501607939,0.5910906044723114,19.468084004182845,79.72194656475253,3.4292639657932593
3297,0.6156038096744315,8.207660425432021,36.96932897174223,356.59344172,43.44641752174223,0.4341418859735816,92.09320247474857,1.347343063412218,13.44375896310713,65.89754662327263,3.5832870202794727
3298,0.3336635429591634,4.448635654811327,73.68084511542254,356.59344172,80.15793366542255,0.4549226100101407,112.20875495778385,0.286893476975202,15.393810153904784,51.02324423715483,2.730446626076324
3299,0.6924417445393752,9.232117498718251,32.14822593170021,356.59344172,38.62531448170021,0.4864606675127954,98.2375056751874,0.5195765503012606,20.32731161604154,83.04055659703985,3.409150645277351
3300,0.2863738105836501,3.8181358774414584,86.91755563404985,356.59344172,93.39464418404985,0.4620750297206912,126.91363297774623,0.3531287440608734,18.14460479588395,55.349674357525515,2.6820614963949874
3301,0.2667923017669569,3.5570615103578334,93.77235630262145,356.59344172,100.24944485262145,0.46113264215431277,124.60317758759862,1.344607135771232,20.031277530283297,48.524773583549745,3.220799725327639
3302,0.6898042391406636,9.19695243257885,32.295911999271105,356.59344172,38.7730005492711,0.5049382474165265,92.810861342144,1.4839961499676924,13.751023794172871,72.28880906096558,2.956221978631338
3303,0.6394974043451631,8.526226536164819,35.346036862804155,356.59344172,41.82312541280415,0.43767789994188244,106.1434211250626,0.9423255824198079,14.745320602554575,83.1175478059231,2.9298047413678483
3304,0.613447623318092,8.178912641307448,37.12203731900994,356.59344172,43.59912586900994,0.4912593096477025,108.57643509134775,1.3779875667730157,15.087156248035928,83.82724005878117,3.6010422187178692
3305,0.34335088489781135,4.577794071000334,71.41925981983341,356.59344172,77.89634836983342,0.49384081872704755,121.76988492806345,1.893929542583451,16.38070424730827,65.45257323021735,2.6788448491773402
3306,0.6623018315173281,8.830271104252551,33.90597981901858,356.59344172,40.38306836901858,0.5008701006316836,87.33778202090078,1.539779196623242,14.512048317006059,65.25678627376517,3.725973341114635
3307,0.29740571250065245,3.9652209073884213,83.45319529763057,356.59344172,89.93028384763058,0.5242248291570256,128.59500697968755,0.6848050572999249,21.660615926446518,64.33890096749045,2.624106869155948
3308,1.4495319202069994,19.326173083911662,11.974233404518307,356.59344172,18.451321954518306,0.5157559803643902,82.95968542486315,0.9778205301910957,15.907623686617999,83.75749468624082,3.5976455705487305
3309,0.554092129346372,7.387543693864937,41.79246578321318,356.59344172,48.26955433321318,0.44167186022478894,103.3269854810233,0.6421108390617537,18.763882975444517,76.95117106206538,3.5476705900262218
3310,0.46401422680491955,6.186562114029681,51.16291168718006,356.59344172,57.64000023718006,0.5344357756576866,92.63003603486455,1.5843285715812256,17.975540919765233,57.32377655086296,3.1687815125102987
3311,0.4381602404520754,5.841858690670226,54.56400480775266,356.59344172,61.04109335775266,0.5381577010590981,91.7341127979542,1.7934985504102068,15.111725700290837,49.7754565854826,3.761717954360886
3312,1.1180253337689876,14.906295481600683,17.445249643292534,356.59344172,23.922338193292536,0.5024981163139939,84.90619401601138,1.2732375371242806,14.691123362739875,79.89662419531237,3.02618296095664
3313,0.31135923404206806,4.15125901298666,79.42298191162259,356.59344172,85.90007046162259,0.450570063024866,118.76488348360377,0.5958670712594027,21.223490526260015,58.0546897440301,2.655999362445649
3314,0.5607412889298228,7.476194938574311,41.22009493034426,356.59344172,47.69718348034426,0.4514798789224681,95.16782425093925,0.4329736009482578,20.588566768319236,71.37270284997419,3.1450869609658243
3315,0.30474976102520984,4.063136897332247,81.28599960834639,356.59344172,87.76308815834639,0.43391870669470234,119.42438478405177,1.1444316762343725,12.091209499999902,47.18613385205621,3.7539737931887585
3316,0.47323109201004493,6.309447805446465,50.04028867787407,356.59344172,56.517377227874064,0.4420523960723754,111.92599393271244,0.9040512457388459,16.84871037723308,75.7857321823289,3.4106822994090424
3317,0.4011021747849039,5.347774647914931,60.203627298607024,356.59344172,66.68071584860702,0.44287023846588874,104.2505322212395,1.5881031433946426,13.629141068874278,55.66164948549745,3.1596294109380585
3318,0.6468348727880384,8.624054795858815,34.871609963747,356.59344172,41.348698513746996,0.4975453597753357,101.16806277765463,1.5065854189496335,16.053972010181074,79.86332644854585,3.496138434717162
3319,0.29805598242108067,3.9738907606412304,83.25699404024708,356.59344172,89.73408259024708,0.5280617571219728,128.90228759052528,1.1764980769793718,12.71049495171159,55.43871543913386,3.5655093827133335
3320,1.0571040007145573,14.094049672660917,18.82390371283457,356.59344172,25.300992262834573,0.4537174271417314,82.01224685603081,0.29490304790425914,19.338211059385646,79.60293804985335,2.7648017734910657
3321,0.42597898239220927,5.6794496409880715,56.3095306228328,356.59344172,62.7866191728328,0.46308944390803913,109.74738355396588,0.7871801045411128,14.745570079998283,64.74613918303034,3.7613744887340976
3322,0.317072914298237,4.2274377932104725,77.87505550584186,356.59344172,84.35214405584186,0.4731538422555181,129.24145992553272,1.3408468827618645,12.961239681407367,62.15913271219749,3.0362044294070736
3323,0.34969091163582633,4.662323740466329,70.00696995176617,356.59344172,76.48405850176617,0.43702896308400546,98.69003934122853,1.4856184067828115,22.812236735407513,50.03471848554502,2.5091770830236393
3324,0.8616223735147672,11.487751936597034,24.564097200537024,356.59344172,31.041185750537025,0.5391027550457974,89.92851839706557,1.1483334072468947,15.844486994012163,78.83070177222447,2.9874370705173274
3325,0.41048183184550424,5.472830794174207,58.679949029088206,356.59344172,65.15703757908821,0.4986330616582547,104.55948689436883,0.7150123070499173,20.652725295466418,64.0471578149582,2.701484591180518
3326,0.9317162753182074,12.422292845628236,22.22883926472669,356.59344172,28.705927814726692,0.510166342677853,93.29384145431344,1.7464105807391932,13.078271954314024,82.3067287918409,3.0727895901212148
3327,0.48898326999495495,6.519466856383598,48.2196296902098,356.59344172,54.6967182402098,0.4459564376571509,97.54373144519853,0.6006811184260739,16.184459951554565,62.23204662924335,3.4312397580688785
3328,0.44383083253947314,5.9174629893004065,53.78411500374768,356.59344172,60.26120355374768,0.4487891370990153,83.55413398375936,0.34264757717963357,15.111181067938315,41.39244774605279,3.382610741977829
3329,0.5809181559795131,7.745207037899247,39.563442061395996,356.59344172,46.040530611395994,0.5029310383377225,101.81315149038926,1.625485009943969,22.978591027796043,83.6582333144448,2.692621113950758
3330,0.6205767365792507,8.273962964035277,36.621175639725905,356.59344172,43.0982641897259,0.4845747174322608,90.50730699571017,1.3290093099221312,12.3098009142165,63.33617830309056,3.704188559600057
3331,0.34806918578731755,4.640701757530997,70.36332489421994,356.59344172,76.84041344421995,0.48651973903345996,113.3082731021892,1.9333178944985288,16.559322379838306,57.35016995377267,3.600898789499946
3332,0.3429360109150104,4.572262680978597,71.51349654990914,356.59344172,77.99058509990914,0.44586735404961314,105.59293264745018,0.6250047704479084,13.435556930792133,44.812160452587484,2.881969992143999
3333,0.33526866239977743,4.47003622950528,73.2970840542936,356.59344172,79.77417260429361,0.5122235259251555,122.08747207805237,1.2896893484538001,15.687288816618949,62.39404093831989,2.86110172458647
3334,0.5778706629135865,7.704575729514049,39.80624413942915,356.59344172,46.283332689429145,0.5241042077687247,83.13072661463156,1.0280368093199934,20.818312448631254,61.92280484921132,2.7239226761736215
3335,0.47396568079143075,6.319241856709947,49.95269366214292,356.59344172,56.42978221214292,0.4896345179717484,85.23521824721507,0.7926398256190351,18.748126724574867,50.81528134714753,3.51837527014676
3336,0.4808327576932224,6.410798527476884,49.14678423146853,356.59344172,55.62387278146853,0.5025297759737024,100.2484385904788,1.6598816973121768,16.080148166802953,64.76959361621974,3.5695608309319633
3337,0.24273082995723888,3.2362571442270998,103.70990396266188,356.59344172,110.18699251266189,0.45058358424639866,127.67770007630529,1.2104371972129,22.681854356028072,44.09118428800523,3.3183197946327643
3338,0.38894402458217364,5.185673688341301,62.28802532936186,356.59344172,68.76511387936186,0.4454685387048218,119.46795812777938,0.7282009032452583,14.322061999379889,69.09890446091804,2.685822701419806
3339,0.6469125862802119,8.625090926474334,34.86664275206109,356.59344172,41.34373130206109,0.45635196788915044,92.91879506488826,1.8904450494036538,22.550830432098962,78.407355011785,3.6297208146556352
3340,0.4102111336051514,5.469221655959561,58.722946144413314,356.59344172,65.20003469441332,0.4874561364750049,117.07717122559782,0.7503872601976538,18.17395949539778,73.4532285425601,3.3378871577448606
3341,0.39954631534106155,5.327030841940902,60.46328636062757,356.59344172,66.94037491062757,0.47281577759352844,91.3795679564833,0.32405378597997886,22.34655334800396,50.085727759949535,3.0283451922966194
3342,0.26199652676882157,3.4931208848404434,95.60739506107555,356.59344172,102.08448361107556,0.451418868747127,128.72236791639622,1.9481385684103505,19.86428108531375,50.90972748453829,3.5662461557593628
3343,0.40756096941807973,5.433887814002623,59.14690920738688,356.59344172,65.62399775738687,0.43719793502202664,84.57271684277883,0.32874953863403844,19.49871876477733,42.15359185926305,2.662486144518254
3344,0.2939374997060142,3.9189802694096145,84.51429625064866,356.59344172,90.99138480064866,0.42797093769727096,122.5652950124475,1.1372956248500832,13.220323136728203,48.604640435012385,3.3760061506674974
3345,0.4068662298168365,5.42462505987165,59.25896468580414,356.59344172,65.73605323580414,0.5298079892274354,120.20032719163379,1.1880398730968451,21.71329893380794,80.68224729822475,2.630646025282251
